,0
nasal,1
bowed,1
delays,7
pitch shift,5
distortion,9
tube saturation,1
horror,2
nice round,1
juicy bass,1
higher,2
grungy,1
distorted bass,1
chorus effect,1
reverb,43
slap back delay,1
tremolo,5
pitch-shifting,2
light distortion,1
slap-back,3
delay,18
choppiness,1
light chorus,2
quick delay,1
grungey distortion,1
dolce,1
cantando,1
metallic,5
pont,1
tasto,1
pitch shifting,2
cleaner,1
less noisy,1
less distortion,1
dark,54
reverse,1
tape saturation,9
sad,28
trappy,2
reverbs,12
moody,5
light reverb,2
reversed,2
tropical,2
slight reverb,2
emotional,17
alot of reverb,2
bouncy,7
noise,1
bright,4
brighter,2
dry,2
deep,1
dreamy,1
reeverb delay,1
too loud,1
bassy,2
muddy,7
chorused,1
distorted,5
aggressive,1
agressive,1
less sharp,1
clean,1
clear,4
warm,2
impressive bass,1
mellow,1
heavily distorted,1
chiming,1
fuller,1
richer,1
dull,2
percussive,1
sharp,1
soft,3
glitchy,1
loud,4
rounder,1
softer,2
purer,1
mushy,1
heavy bass,1
less aggressive,1
overly aggressive,1
groovy,1
light,1
trippy,1
heavy,2
depressing,1
reverbed,5
calm,1
melodic,2
futuristic,1
hard,3
chilling,1
dissonant,1
melancholic,1
fast,1
atmospheric,2
high energy,1
creepy,1
melancholy,1
distored,1
evil,2
heavily reverbed,1
distortions,1
slow,1
monotone,1
ambient,1
weird,1
scary,1
